Date,Open,High,Low,Close
2022-12-27,7.324,7.324,7.305,7.31
2022-12-26,7.337,7.337,7.319,7.319
2022-12-23,7.338,7.338,7.306,7.318
2022-12-22,7.3,7.319,7.293,7.316
2022-12-21,7.316,7.316,7.281,7.287
2022-12-20,7.328,7.344,7.299,7.299
2022-12-19,7.302,7.302,7.283,7.297
2022-12-16,7.302,7.302,7.273,7.281
2022-12-15,7.233,7.271,7.233,7.268
2022-12-14,7.236,7.249,7.211,7.221
2022-12-13,7.258,7.281,7.258,7.265
2022-12-12,7.328,7.328,7.287,7.294
2022-12-09,7.298,7.309,7.286,7.299
2022-12-08,7.256,7.289,7.25,7.288
2022-12-07,7.258,7.307,7.226,7.269
2022-12-06,7.242,7.264,7.231,7.249
2022-12-05,7.237,7.237,7.209,7.226
2022-12-02,7.2,7.236,7.181,7.221
2022-12-01,7.255,7.255,7.205,7.21
2022-11-30,7.306,7.306,7.28,7.28
2022-11-29,7.294,7.297,7.277,7.279
2022-11-28,7.272,7.275,7.25,7.274
2022-11-25,7.272,7.304,7.245,7.301
2022-11-24,7.264,7.283,7.255,7.255
2022-11-23,7.282,7.299,7.279,7.291
2022-11-22,7.33,7.339,7.285,7.285
2022-11-21,7.338,7.338,7.285,7.32
2022-11-18,7.314,7.32,7.271,7.307
2022-11-17,7.25,7.292,7.243,7.281
2022-11-16,7.272,7.288,7.254,7.274
2022-11-15,7.295,7.299,7.258,7.261
2022-11-14,7.338,7.338,7.277,7.287
2022-11-11,7.272,7.308,7.235,7.307
2022-11-10,7.381,7.385,7.334,7.346
2022-11-09,7.425,7.425,7.381,7.387
2022-11-07,7.484,7.484,7.434,7.434
2022-11-04,7.497,7.497,7.457,7.469
2022-11-03,7.44,7.49,7.44,7.482
2022-11-02,7.421,7.424,7.398,7.404
2022-11-01,7.435,7.437,7.396,7.396
2022-10-31,7.432,7.453,7.418,7.445
2022-10-28,7.45,7.45,7.378,7.416
2022-10-27,7.41,7.42,7.372,7.412
2022-10-25,7.505,7.505,7.44,7.442
2022-10-21,7.541,7.541,7.504,7.511
2022-10-20,7.505,7.516,7.476,7.476
2022-10-19,7.439,7.458,7.395,7.451
2022-10-18,7.417,7.427,7.368,7.426
2022-10-17,7.461,7.461,7.392,7.407
2022-10-14,7.469,7.481,7.416,7.47
2022-10-13,7.446,7.451,7.403,7.422
2022-10-12,7.433,7.441,7.372,7.435
2022-10-11,7.532,7.532,7.426,7.426
2022-10-10,7.498,7.513,7.471,7.476
2022-10-07,7.49,7.518,7.458,7.46
2022-10-06,7.49,7.49,7.446,7.454
2022-10-04,7.454,7.454,7.361,7.362
2022-10-03,7.403,7.47,7.403,7.468
2022-09-30,7.423,7.423,7.301,7.398
2022-09-29,7.294,7.343,7.286,7.34
2022-09-28,7.351,7.352,7.32,7.333
2022-09-27,7.41,7.41,7.283,7.292
2022-09-26,7.413,7.422,7.359,7.359
2022-09-23,7.366,7.396,7.352,7.393
2022-09-22,7.312,7.312,7.312,7.312
2022-09-21,7.27,7.271,7.233,7.233
2022-09-20,7.3,7.3,7.271,7.294
2022-09-19,7.294,7.294,7.232,7.277
2022-09-16,7.255,7.291,7.243,7.266
2022-09-15,7.17,7.258,7.144,7.238
2022-09-14,7.163,7.163,7.128,7.155
2022-09-13,7.208,7.208,7.106,7.108
2022-09-12,7.182,7.185,7.162,7.181
2022-09-09,7.159,7.172,7.135,7.167
2022-09-08,7.139,7.152,7.122,7.135
2022-09-07,7.208,7.208,7.175,7.185
2022-09-06,7.221,7.221,7.179,7.179
2022-09-05,7.232,7.232,7.201,7.218
2022-09-02,7.238,7.248,7.224,7.232
2022-09-01,7.23,7.23,7.172,7.215
2022-08-30,7.28,7.28,7.186,7.188
2022-08-29,7.256,7.271,7.238,7.253
2022-08-26,7.276,7.291,7.203,7.217
2022-08-25,7.32,7.32,7.292,7.292
2022-08-24,7.311,7.311,7.273,7.286
2022-08-23,7.305,7.31,7.272,7.281
2022-08-22,7.295,7.306,7.265,7.27
2022-08-19,7.264,7.295,7.256,7.264
2022-08-18,7.202,7.262,7.196,7.242
2022-08-17,7.251,7.251,7.164,7.182
2022-08-12,7.331,7.331,7.286,7.289
2022-08-11,7.339,7.339,7.241,7.267
2022-08-10,7.366,7.366,7.307,7.31
2022-08-08,7.365,7.365,7.338,7.348
2022-08-05,7.136,7.322,7.11,7.3
2022-08-04,7.219,7.236,7.151,7.157
2022-08-03,7.25,7.253,7.227,7.242
2022-08-02,7.204,7.228,7.185,7.196
2022-08-01,7.357,7.357,7.24,7.24
2022-07-29,7.301,7.33,7.255,7.32
2022-07-28,7.372,7.372,7.309,7.332
2022-07-27,7.385,7.385,7.336,7.338
2022-07-26,7.41,7.414,7.367,7.367
2022-07-25,7.399,7.399,7.36,7.391
2022-07-22,7.417,7.432,7.402,7.414
2022-07-21,7.471,7.471,7.44,7.44
2022-07-20,7.471,7.471,7.434,7.449
2022-07-19,7.471,7.471,7.432,7.434
2022-07-18,7.429,7.443,7.4,7.437
2022-07-15,7.416,7.447,7.401,7.438
2022-07-14,7.362,7.407,7.362,7.384
2022-07-13,7.383,7.383,7.333,7.337
2022-07-12,7.4,7.447,7.391,7.391
2022-07-11,7.453,7.475,7.418,7.427
2022-07-08,7.392,7.419,7.372,7.415
2022-07-07,7.305,7.36,7.291,7.354
2022-07-06,7.33,7.33,7.281,7.294
2022-07-05,7.406,7.42,7.382,7.391
2022-07-04,7.398,7.398,7.355,7.374
2022-07-01,7.427,7.427,7.385,7.424
2022-06-30,7.443,7.455,7.417,7.45
2022-06-29,7.457,7.478,7.437,7.459
2022-06-28,7.428,7.468,7.428,7.466
2022-06-27,7.481,7.481,7.407,7.407
2022-06-24,7.458,7.47,7.42,7.444
2022-06-23,7.37,7.443,7.365,7.419
2022-06-22,7.448,7.448,7.382,7.396
2022-06-21,7.457,7.484,7.457,7.482
2022-06-20,7.503,7.503,7.427,7.427
2022-06-17,7.596,7.611,7.544,7.546
2022-06-16,7.572,7.617,7.551,7.617
2022-06-15,7.61,7.614,7.578,7.592
2022-06-14,7.604,7.614,7.574,7.581
2022-06-13,7.594,7.615,7.582,7.604
2022-06-10,7.512,7.527,7.503,7.519
2022-06-09,7.528,7.533,7.496,7.496
2022-06-08,7.523,7.562,7.438,7.494
2022-06-07,7.538,7.538,7.51,7.518
2022-06-06,7.5,7.512,7.49,7.5
2022-06-03,7.484,7.484,7.442,7.456
2022-06-02,7.42,7.441,7.409,7.434
2022-06-01,7.437,7.438,7.397,7.414
2022-05-31,7.444,7.46,7.412,7.415
2022-05-30,7.376,7.413,7.364,7.409
2022-05-27,7.328,7.376,7.319,7.35
2022-05-26,7.314,7.314,7.272,7.294
2022-05-25,7.367,7.367,7.297,7.305
2022-05-24,7.397,7.397,7.344,7.359
2022-05-23,7.42,7.42,7.348,7.386
2022-05-20,7.336,7.366,7.335,7.359
2022-05-19,7.343,7.363,7.319,7.32
2022-05-18,7.389,7.389,7.341,7.355
2022-05-17,7.34,7.381,7.34,7.366
2022-05-13,7.308,7.34,7.297,7.318
2022-05-12,7.235,7.293,7.192,7.244
2022-05-11,7.296,7.334,7.208,7.215
2022-05-10,7.402,7.402,7.296,7.301
2022-05-09,7.491,7.491,7.421,7.465
2022-05-06,7.448,7.47,7.411,7.451
2022-05-05,7.409,7.452,7.38,7.403
2022-05-04,7.159,7.409,7.129,7.378
2022-05-02,7.138,7.15,7.116,7.119
2022-04-29,7.179,7.182,7.126,7.139
2022-04-28,7.1,7.157,7.1,7.155
2022-04-27,7.071,7.085,7.053,7.083
2022-04-26,7.082,7.098,7.038,7.053
2022-04-25,7.219,7.219,7.038,7.043
2022-04-22,7.173,7.192,7.158,7.167
2022-04-21,7.114,7.16,7.101,7.144
