Date,Open,High,Low,Close,Underlying Value
2022-11-25,43650.05,43989.95,43650.05,43799.0,18512.75
2022-11-28,43650.0,43888.0,43590.0,43769.8,18562.75
2022-11-29,43799.95,43965.15,43767.95,43793.55,18618.05
2022-11-30,43865.95,43984.95,43660.0,43923.3,18758.35
2022-12-01,44129.95,44170.8,43816.8,43961.35,18812.5
2022-12-02,43829.65,43855.0,43668.0,43818.0,18696.1
2022-12-05,43835.95,44037.45,43713.3,44004.25,18701.05
2022-12-06,43879.4,44031.35,43840.0,43932.7,18642.75
2022-12-07,44229.3,44229.3,43679.35,43818.0,18560.5
2022-12-08,43942.25,44249.95,43807.2,44202.95,18609.35
2022-12-09,44329.95,44437.85,44022.0,44224.15,18496.6
2022-12-12,44079.3,44371.9,44005.0,44323.25,18497.15
2022-12-13,43980.35,44505.25,43980.35,44484.7,18608.0
2022-12-14,44594.7,44645.0,44530.0,44551.25,18660.3
2022-12-15,44475.05,44575.0,43930.05,44027.3,18414.9
2022-12-16,43870.0,44084.05,43636.0,43722.6,18269.0
2022-12-19,43779.05,43960.0,43672.0,43933.95,18420.45
2022-12-20,43790.0,43880.3,43460.05,43822.3,18385.3
2022-12-21,44324.15,44324.15,42895.65,43173.2,18199.1
2022-12-22,43354.95,43389.0,42743.45,42861.7,18127.35
2022-12-23,42608.05,42706.5,41005.15,42119.1,17806.8
2022-12-26,42150.6,43150.0,42047.15,42965.2,18014.6
2022-12-27,43100.0,43237.2,42755.0,43170.15,18132.3
2022-12-28,43065.55,43384.4,43013.5,43174.05,18122.5
2022-12-29,43098.65,43572.0,42869.9,43489.85,18191.0
2022-12-30,43616.55,43731.8,43165.0,43306.75,18105.3
2023-01-02,43016.35,43688.0,43016.3,43564.15,18197.45
2023-01-03,43565.05,43836.4,43530.05,43784.05,18232.55
2023-01-04,43780.45,43879.8,43220.0,43321.8,18042.95
