Date,Open,High,Low,Close,Underlying Value
2022-07-29,37895.95,38000.0,37550.0,37826.7,17158.25
2022-08-01,37882.4,38253.0,37746.6,38217.95,17340.05
2022-08-02,38053.05,38495.5,37950.25,38322.1,17345.45
2022-08-03,38286.85,38396.8,38040.0,38313.4,17388.15
2022-08-04,38433.0,38542.15,37623.65,38063.5,17382.0
2022-08-05,38147.05,38477.25,38121.0,38268.75,17397.5
2022-08-08,38224.8,38655.1,38060.0,38592.2,17525.1
2022-08-10,38641.35,38738.45,38507.4,38653.9,17534.75
2022-08-11,39028.25,39270.85,38996.05,39243.6,17659.0
2022-08-12,39233.8,39400.0,39090.15,39370.8,17698.15
2022-08-16,39525.0,39752.0,39460.0,39602.0,17825.25
2022-08-17,39720.35,39835.5,39286.95,39804.1,17944.25
2022-08-18,39725.0,40100.0,39650.0,40025.75,17956.5
2022-08-19,40000.0,40052.4,39215.15,39345.65,17758.45
2022-08-22,39075.0,39080.0,38636.3,38678.15,17490.7
2022-08-23,38327.0,39271.9,38327.0,39143.6,17577.5
2022-08-24,39063.6,39500.0,38999.0,39420.8,17604.95
2022-08-25,39570.05,39837.95,39119.15,39290.95,17522.45
2022-08-26,39450.75,39684.0,39222.0,39384.85,17558.9
2022-08-29,37706.65,38730.0,37706.65,38622.6,17312.9
2022-08-30,38789.2,39939.95,38789.2,39859.4,17759.3
2022-09-01,39220.05,39975.0,39211.55,39619.2,17542.8
2022-09-02,39712.0,39870.0,39475.85,39699.0,17539.45
2022-09-05,39657.85,40145.95,39657.85,40070.9,17665.8
2022-09-06,40111.2,40317.95,39824.5,39964.45,17655.6
2022-09-07,39627.95,39860.0,39531.3,39758.2,17624.4
2022-09-08,40024.4,40546.85,39974.9,40465.15,17798.75
2022-09-09,40746.55,40897.85,40523.0,40661.0,17833.35
2022-09-12,40747.05,40914.75,40616.25,40828.25,17936.35
2022-09-13,41000.0,41126.0,40935.0,41095.25,18070.05
2022-09-14,40680.0,41813.45,40556.5,41587.15,18003.75
2022-09-15,41679.0,41984.0,41350.0,41459.7,17877.4
2022-09-16,41245.95,41360.0,40736.0,40991.45,17530.85
2022-09-19,40937.1,41411.85,40754.55,41104.1,17622.25
2022-09-20,41398.9,41869.0,41315.05,41650.8,17816.25
2022-09-21,41504.05,41708.75,41107.0,41412.4,17718.35
2022-09-22,41350.0,41373.85,40591.75,40871.8,17629.8
2022-09-23,40780.0,40780.0,39660.45,39817.5,17327.35
2022-09-26,39321.05,39536.3,38720.0,38847.05,17016.3
2022-09-27,39000.0,39231.45,38445.1,38666.75,17007.4
2022-09-28,38365.4,38579.95,37830.0,37968.1,16858.6
2022-09-29,38224.0,38460.0,37711.6,37861.3,16818.1
2022-09-30,37859.0,38988.1,37580.4,38807.35,17094.35
2022-10-03,38705.3,38810.0,38086.4,38159.15,16887.35
2022-10-04,38776.0,39348.25,38720.1,39267.95,17274.3
2022-10-06,39499.95,39750.0,39340.1,39378.25,17331.8
2022-10-07,39228.0,39374.7,38893.4,39291.05,17314.65
2022-10-10,38743.0,39447.0,38610.0,39216.6,17241.0
2022-10-11,39188.0,39271.7,38733.3,38810.15,16983.55
2022-10-12,38825.05,39270.05,38716.95,39214.7,17123.6
2022-10-13,39001.05,39166.5,38520.55,38738.65,17014.35
2022-10-14,39500.0,39677.2,39320.0,39395.35,17185.7
2022-10-17,39350.0,40045.0,39223.85,39975.85,17311.8
2022-10-18,40300.0,40496.8,40213.95,40380.1,17486.95
2022-10-19,40500.05,40668.4,40245.15,40401.75,17512.25
2022-10-20,40198.15,40259.0,39903.25,40205.35,17563.95
2022-10-21,40493.3,41030.0,40396.5,40788.3,17576.3
2022-10-25,41530.8,41540.0,41035.6,41111.15,17656.35
2022-10-27,41475.0,41500.0,41175.0,41283.3,17736.95
