Date,Open,High,Low,Close,Underlying Value
2022-11-25,1000.0,1000.0,850.0,880.0,18512.75
2022-11-28,900.0,920.0,825.15,852.15,18562.75
2022-11-29,801.55,870.25,797.95,841.6,18618.05
2022-11-30,815.0,900.0,775.0,786.6,18758.35
2022-12-01,756.6,798.7,742.95,759.3,18812.5
2022-12-02,807.9,857.45,801.95,801.95,18696.1
2022-12-05,750.0,750.0,720.0,727.2,18701.05
2022-12-06,722.9,740.85,713.5,727.2,18642.75
2022-12-07,721.7,794.4,683.0,732.85,18560.5
2022-12-08,727.2,727.2,582.9,610.9,18609.35
2022-12-09,558.9,603.4,520.0,577.7,18496.6
2022-12-12,608.75,608.75,510.45,536.55,18497.15
2022-12-13,487.05,516.25,487.05,490.95,18608.0
2022-12-14,471.0,471.0,449.2,454.9,18660.3
2022-12-15,440.0,589.15,440.0,568.35,18414.9
2022-12-16,615.0,703.6,560.8,682.35,18269.0
2022-12-19,633.0,676.35,595.0,600.15,18420.45
2022-12-20,639.95,780.25,625.0,644.6,18385.3
2022-12-21,603.7,1035.0,567.8,947.3,18199.1
2022-12-22,947.3,1105.5,851.1,1014.85,18127.35
2022-12-23,1102.15,1380.0,1101.25,1335.55,17806.8
2022-12-26,1335.05,1362.75,853.65,919.55,18014.6
2022-12-27,865.1,1099.05,821.0,835.45,18132.3
2022-12-28,880.7,898.3,795.0,847.8,18122.5
2022-12-29,908.85,962.4,621.8,710.6,18191.0
2022-12-30,646.15,820.0,643.25,763.8,18105.3
2023-01-02,704.0,750.2,650.0,679.65,18197.45
2023-01-03,652.05,663.95,567.25,579.8,18232.55
2023-01-04,575.0,804.95,547.15,757.3,18042.95
