Date,Open,High,Low,Close,Underlying Value
2022-09-09,2550.25,2550.25,1688.3,1763.45,17833.35
2022-09-14,1545.7,1545.7,1280.2,1361.3,18003.75
2022-09-15,1216.9,1525.0,1205.05,1497.7,17877.4
2022-09-16,1615.5,1871.35,1550.15,1743.85,17530.85
2022-09-19,1850.0,1856.05,1610.0,1758.15,17622.25
2022-09-20,1504.4,1531.7,1361.3,1439.35,17816.25
2022-09-21,1441.75,1662.25,1441.75,1523.3,17718.35
2022-09-22,1624.95,1910.15,1528.0,1708.2,17629.8
2022-09-23,1860.3,2451.5,1860.05,2340.0,17327.35
2022-09-26,2890.05,3020.5,1605.45,2965.45,17016.3
2022-09-27,2728.35,3076.8,2728.35,3061.0,17007.4
2022-09-28,3598.6,3600.0,3177.4,3355.05,16858.6
2022-09-29,3300.0,3781.35,3300.0,3650.0,16818.1
2022-09-30,3111.75,3185.0,2938.1,2973.0,17094.35
2022-10-03,3043.7,3400.0,3014.95,3400.0,16887.35
2022-10-04,2900.05,2900.05,2594.95,2596.05,17274.3
2022-10-06,2279.3,2453.0,2204.35,2449.55,17331.8
2022-10-07,2610.35,2755.9,2465.0,2501.6,17314.65
2022-10-10,2879.25,2943.95,2431.95,2569.65,17241.0
2022-10-11,2677.95,2677.95,2544.45,2544.5,16983.55
2022-10-12,2921.9,2921.9,2525.0,2525.0,17123.6
2022-10-13,2589.3,3000.0,2589.3,2915.85,17014.35
2022-10-14,2238.05,2364.0,2178.4,2354.25,17185.7
2022-10-17,2234.0,2241.0,1840.05,1866.55,17311.8
2022-10-18,1610.95,1695.25,1490.0,1554.85,17486.95
2022-10-19,1477.15,1611.0,1354.8,1533.0,17512.25
2022-10-20,1666.05,1815.2,1545.5,1571.45,17563.95
2022-10-21,1436.55,1436.55,1133.05,1238.2,17576.3
2022-10-25,900.0,1075.0,870.0,1033.0,17656.35
2022-10-27,967.0,967.0,821.9,896.65,17736.95
2022-10-28,907.5,1125.0,811.3,1033.7,17786.8
2022-10-31,870.0,938.8,815.0,827.9,18012.2
2022-11-01,745.25,860.0,655.0,796.95,18145.4
2022-11-03,1004.7,1004.7,726.55,757.7,18052.7
2022-11-04,715.05,848.3,640.9,721.9,18117.15
2022-11-07,562.85,651.6,458.25,482.7,18202.8
2022-11-09,401.3,472.0,380.05,426.6,18157.0
2022-11-10,521.65,617.15,439.55,466.7,18028.2
2022-11-11,290.7,297.75,210.15,224.9,18349.7
2022-11-14,213.6,247.5,173.15,204.3,18329.15
2022-11-15,172.6,179.0,112.0,119.3,18403.4
2022-11-16,112.4,128.35,92.4,98.95,18409.65
2022-11-17,115.35,115.35,54.5,66.1,18343.9
2022-11-18,58.85,76.9,35.0,38.2,18307.65
2022-11-21,44.2,44.2,20.0,24.5,18159.95
2022-11-22,16.45,17.8,9.05,10.3,18244.2
2022-11-23,7.4,8.3,5.2,6.25,18267.25
2022-11-24,2.95,4.05,0.05,0.25,18484.1
