Date,Open,High,Low,Close,Underlying Value
2022-09-09,785.15,785.15,785.15,785.15,17833.35
2022-09-12,791.8,795.8,520.15,653.45,17936.35
2022-09-13,821.95,874.35,821.25,850.0,18070.05
2022-09-14,834.75,1196.55,815.0,1100.6,18003.75
2022-09-15,1232.75,1290.8,1096.2,1122.45,17877.4
2022-09-16,1042.15,1098.6,942.95,986.5,17530.85
2022-09-19,935.1,1162.45,935.1,1000.3,17622.25
2022-09-20,1206.45,1326.85,1201.4,1232.2,17816.25
2022-09-21,1253.0,1253.0,1039.5,1097.5,17718.35
2022-09-22,964.6,1020.3,795.65,817.7,17629.8
2022-09-23,740.0,740.0,527.5,547.7,17327.35
2022-09-26,440.0,463.25,333.0,346.1,17016.3
2022-09-27,371.45,398.3,273.9,292.65,17007.4
2022-09-28,235.1,258.65,181.8,196.25,16858.6
2022-09-29,205.3,210.5,163.9,178.8,16818.1
2022-09-30,197.95,272.6,161.7,252.95,17094.35
2022-10-03,260.0,260.0,199.35,202.05,16887.35
2022-10-04,282.75,303.95,265.65,292.35,17274.3
2022-10-06,325.0,350.55,283.0,289.6,17331.8
2022-10-07,257.5,268.95,213.55,254.7,17314.65
2022-10-10,189.65,286.0,182.85,241.85,17241.0
2022-10-11,230.0,250.0,199.8,206.05,16983.55
2022-10-12,203.25,231.95,194.1,226.95,17123.6
2022-10-13,210.0,213.95,165.35,169.7,17014.35
2022-10-14,249.95,256.35,201.05,215.0,17185.7
2022-10-17,213.0,271.65,186.5,257.3,17311.8
2022-10-18,300.0,322.0,272.05,298.3,17486.95
2022-10-19,315.15,329.05,257.5,280.7,17512.25
2022-10-20,239.0,241.55,189.05,211.65,17563.95
2022-10-21,238.95,401.65,233.95,308.45,17576.3
2022-10-25,466.35,501.35,369.3,393.65,17656.35
2022-10-27,493.4,501.1,397.85,431.9,17736.95
2022-10-28,410.25,475.0,299.8,323.45,17786.8
2022-10-31,395.1,396.45,324.3,363.0,18012.2
2022-11-01,375.2,473.6,321.0,348.3,18145.4
2022-11-03,252.05,375.1,237.95,311.05,18052.7
2022-11-04,306.1,332.7,210.15,256.45,18117.15
2022-11-07,320.0,363.0,243.65,335.65,18202.8
2022-11-09,369.4,417.1,325.5,352.25,18157.0
2022-11-10,264.15,290.35,203.95,246.15,18028.2
2022-11-11,382.3,498.4,309.15,407.35,18349.7
2022-11-14,371.75,400.95,292.0,313.1,18329.15
2022-11-15,327.4,455.25,295.2,410.65,18403.4
2022-11-16,395.0,492.9,365.0,442.4,18409.65
2022-11-17,387.45,430.0,328.0,351.15,18343.9
2022-11-18,360.05,373.75,207.7,281.45,18307.65
2022-11-21,260.5,260.5,123.1,152.5,18159.95
2022-11-22,175.25,179.5,122.35,145.1,18244.2
2022-11-23,200.0,396.5,162.0,296.8,18267.25
2022-11-24,305.0,591.15,264.55,542.3,18484.1
