Date,Open,High,Low,Close,Underlying Value
2022-11-25,18744.05,18866.0,18744.05,18842.3,18512.75
2022-11-28,18784.0,18929.0,18780.0,18886.75,18562.75
2022-11-29,18874.55,18977.0,18874.55,18923.35,18618.05
2022-11-30,18953.2,19078.5,18916.95,19048.7,18758.35
2022-12-01,19086.0,19170.0,19062.6,19115.8,18812.5
2022-12-02,19139.85,19139.85,18944.85,18998.95,18696.1
2022-12-05,18996.0,19037.5,18903.1,19007.8,18701.05
2022-12-06,18930.6,18978.35,18880.05,18962.7,18642.75
2022-12-07,18931.0,18969.55,18850.4,18868.85,18560.5
2022-12-08,18906.9,18932.75,18845.0,18912.35,18609.35
2022-12-09,18942.9,18967.4,18725.1,18785.15,18496.6
2022-12-12,18710.0,18825.05,18669.0,18802.25,18497.15
2022-12-13,18822.9,18905.0,18780.0,18894.6,18608.0
2022-12-14,18960.0,18988.0,18920.0,18943.9,18660.3
2022-12-15,18929.0,18929.0,18652.35,18674.35,18414.9
2022-12-16,18604.05,18685.45,18520.05,18532.2,18269.0
2022-12-19,18540.0,18704.05,18512.7,18688.75,18420.45
2022-12-20,18618.05,18640.4,18441.05,18616.2,18385.3
2022-12-21,18659.95,18698.75,18435.0,18472.1,18199.1
2022-12-22,18548.45,18548.45,18320.0,18370.3,18127.35
2022-12-23,18300.0,18308.95,18038.0,18061.0,17806.8
2022-12-26,18055.0,18297.9,17957.65,18223.75,18014.6
2022-12-27,18274.7,18348.6,18170.0,18338.9,18132.3
2022-12-28,18250.3,18368.85,18250.3,18314.8,18122.5
2022-12-29,18254.0,18376.5,18172.5,18362.4,18191.0
2022-12-30,18410.05,18450.0,18260.0,18290.75,18105.3
2023-01-02,18308.25,18369.0,18250.0,18352.85,18197.45
2023-01-03,18319.0,18405.0,18290.0,18391.8,18232.55
2023-01-04,18381.7,18381.7,18155.3,18169.4,18042.95
