Date,Open,High,Low,Close,Underlying Value
2022-11-25,658.6,685.15,625.0,678.95,18512.75
2022-11-28,640.25,743.1,640.25,721.35,18562.75
2022-11-29,726.15,760.25,720.0,726.4,18618.05
2022-11-30,743.2,826.4,724.75,809.15,18758.35
2022-12-01,875.5,900.95,835.0,862.25,18812.5
2022-12-02,834.6,834.6,724.9,759.55,18696.1
2022-12-05,755.95,787.1,700.0,771.25,18701.05
2022-12-06,702.2,750.1,695.0,737.5,18642.75
2022-12-07,733.5,735.75,668.75,675.75,18560.5
2022-12-08,655.0,706.4,655.0,693.55,18609.35
2022-12-09,724.7,724.7,578.75,608.35,18496.6
2022-12-12,566.75,631.0,543.0,613.45,18497.15
2022-12-13,616.0,665.75,600.0,663.2,18608.0
2022-12-14,689.75,722.9,680.4,693.4,18660.3
2022-12-15,670.9,670.9,517.3,533.2,18414.9
2022-12-16,490.65,532.0,435.1,445.25,18269.0
2022-12-19,445.25,538.8,440.0,526.9,18420.45
2022-12-20,488.95,500.0,415.0,489.65,18385.3
2022-12-21,514.8,532.0,415.05,434.9,18199.1
2022-12-22,455.0,464.65,367.2,377.5,18127.35
2022-12-23,342.0,359.8,242.75,249.7,17806.8
2022-12-26,259.95,334.0,240.5,306.0,18014.6
2022-12-27,318.0,345.55,283.55,340.3,18132.3
2022-12-28,315.6,358.5,310.1,333.75,18122.5
2022-12-29,316.15,355.25,277.0,347.35,18191.0
2022-12-30,368.7,381.25,300.0,310.95,18105.3
2023-01-02,307.95,330.95,291.0,322.0,18197.45
2023-01-03,307.35,344.8,296.0,337.7,18232.55
2023-01-04,321.25,326.35,250.0,253.45,18042.95
