Date,Open,High,Low,Close,Underlying Value
2022-11-25,382.0,385.7,346.3,353.9,18512.75
2022-11-28,369.0,375.6,328.15,344.45,18562.75
2022-11-29,338.65,340.2,299.5,319.2,18618.05
2022-11-30,308.55,326.3,272.0,282.2,18758.35
2022-12-01,254.0,273.0,245.0,251.9,18812.5
2022-12-02,263.05,294.0,257.15,275.25,18696.1
2022-12-05,275.65,301.45,264.0,271.7,18701.05
2022-12-06,288.2,311.0,282.2,289.25,18642.75
2022-12-07,295.0,326.0,286.0,320.25,18560.5
2022-12-08,312.0,325.0,291.0,302.8,18609.35
2022-12-09,286.05,365.4,278.5,333.85,18496.6
2022-12-12,358.0,381.0,315.0,321.15,18497.15
2022-12-13,318.0,323.4,270.0,272.7,18608.0
2022-12-14,241.95,265.0,241.0,258.3,18660.3
2022-12-15,260.25,369.9,260.25,359.4,18414.9
2022-12-16,379.75,424.95,350.0,418.45,18269.0
2022-12-19,412.6,425.45,343.05,350.35,18420.45
2022-12-20,375.0,473.55,370.0,378.55,18385.3
2022-12-21,350.0,484.6,337.75,461.3,18199.1
2022-12-22,421.0,543.3,417.5,499.45,18127.35
2022-12-23,554.05,704.0,538.0,683.55,17806.8
2022-12-26,660.95,697.95,537.0,582.9,18014.6
2022-12-27,546.3,614.0,497.05,509.35,18132.3
2022-12-28,525.95,542.0,497.0,521.0,18122.5
2022-12-29,550.0,601.3,479.9,484.85,18191.0
2022-12-30,462.55,538.05,435.5,515.05,18105.3
2023-01-02,510.05,538.0,460.0,472.2,18197.45
2023-01-03,488.05,505.0,439.0,449.25,18232.55
2023-01-04,465.05,588.9,454.0,574.95,18042.95
