Date,Open,High,Low,Close,Underlying Value
2022-08-26,499.0,520.0,454.4,467.55,17558.9
2022-08-29,334.4,381.3,326.9,350.45,17312.9
2022-08-30,399.6,546.0,383.0,537.2,17759.3
2022-09-01,433.0,509.45,425.0,446.75,17542.8
2022-09-02,461.95,468.8,417.0,437.15,17539.45
2022-09-05,450.0,502.2,434.15,490.75,17665.8
2022-09-06,500.0,519.95,450.0,481.55,17655.6
2022-09-07,429.95,470.5,426.7,454.15,17624.4
2022-09-08,488.8,528.55,475.0,522.35,17798.75
2022-09-09,536.0,580.0,510.2,529.45,17833.35
2022-09-12,549.4,603.0,543.05,572.9,17936.35
2022-09-13,592.15,657.35,592.15,643.45,18070.05
2022-09-14,528.0,649.0,519.95,614.3,18003.75
2022-09-15,634.5,644.0,538.45,548.0,17877.4
2022-09-16,498.6,505.0,400.0,411.25,17530.85
2022-09-19,390.1,450.1,374.65,429.65,17622.25
2022-09-20,478.05,578.5,476.0,499.4,17816.25
2022-09-21,490.0,512.5,442.85,458.9,17718.35
2022-09-22,421.8,453.95,393.0,412.1,17629.8
2022-09-23,405.2,405.7,306.95,318.6,17327.35
2022-09-26,267.95,293.45,214.3,217.85,17016.3
2022-09-27,227.95,245.0,197.9,203.0,17007.4
2022-09-28,171.05,193.0,150.0,156.15,16858.6
2022-09-29,180.0,181.55,126.65,130.2,16818.1
2022-09-30,127.0,200.0,117.0,174.35,17094.35
2022-10-03,149.0,172.85,130.0,132.75,16887.35
2022-10-04,171.0,206.8,157.95,202.9,17274.3
2022-10-06,230.0,239.5,195.75,198.4,17331.8
2022-10-07,185.05,200.75,165.95,190.35,17314.65
2022-10-10,180.1,180.1,125.3,159.45,17241.0
2022-10-11,152.05,153.95,109.05,113.0,16983.55
2022-10-12,101.0,136.6,101.0,129.3,17123.6
2022-10-13,116.3,122.15,100.25,110.1,17014.35
2022-10-14,150.0,179.05,111.3,115.05,17185.7
2022-10-17,108.75,133.9,96.35,121.35,17311.8
2022-10-18,143.95,175.95,143.95,161.25,17486.95
2022-10-19,162.3,186.55,149.0,158.7,17512.25
2022-10-20,150.0,169.95,128.0,165.1,17563.95
2022-10-21,169.75,196.75,151.95,168.7,17576.3
2022-10-25,240.0,249.95,175.1,179.4,17656.35
2022-10-27,222.2,228.95,179.0,200.7,17736.95
2022-10-28,208.0,238.0,182.3,199.35,17786.8
2022-10-31,227.45,300.0,227.45,294.9,18012.2
2022-11-01,325.05,405.8,325.05,396.25,18145.4
2022-11-03,251.0,365.3,250.0,324.2,18052.7
2022-11-04,321.05,377.45,286.35,361.15,18117.15
2022-11-07,399.95,461.0,305.85,383.25,18202.8
2022-11-09,416.2,450.15,323.25,344.75,18157.0
2022-11-10,289.7,298.95,221.25,249.45,18028.2
2022-11-11,389.95,486.0,290.0,471.9,18349.7
2022-11-14,486.0,496.7,409.25,422.0,18329.15
2022-11-15,451.0,513.3,392.5,491.4,18403.4
2022-11-16,493.2,516.9,427.0,480.7,18409.65
2022-11-17,435.05,490.0,375.25,405.25,18343.9
2022-11-18,425.55,434.25,289.1,371.65,18307.65
2022-11-21,285.0,294.6,185.0,214.1,18159.95
2022-11-22,233.85,298.4,192.2,282.8,18244.2
2022-11-23,339.25,344.0,267.8,290.75,18267.25
2022-11-24,295.0,488.0,295.0,456.9,18484.1
