Date,Open,High,Low,Close,Underlying Value
2022-08-26,650.0,738.0,650.0,691.5,17558.9
2022-08-29,949.0,949.0,837.85,861.7,17312.9
2022-08-30,815.0,815.0,597.0,605.8,17759.3
2022-09-01,657.0,811.15,657.0,738.0,17542.8
2022-09-02,701.05,793.4,701.05,761.35,17539.45
2022-09-05,713.0,713.0,667.05,676.6,17665.8
2022-09-06,630.0,729.0,630.0,684.1,17655.6
2022-09-07,745.75,750.0,676.95,691.45,17624.4
2022-09-08,693.85,693.85,589.0,592.4,17798.75
2022-09-09,538.6,578.0,516.85,550.25,17833.35
2022-09-12,522.0,528.0,479.9,501.35,17936.35
2022-09-13,462.0,464.0,426.0,431.65,18070.05
2022-09-14,549.8,549.8,435.4,475.7,18003.75
2022-09-15,440.05,542.9,437.0,526.35,17877.4
2022-09-16,574.95,732.9,571.0,699.25,17530.85
2022-09-19,740.5,780.0,642.3,674.25,17622.25
2022-09-20,580.1,587.35,509.0,551.5,17816.25
2022-09-21,549.95,640.0,539.8,602.2,17718.35
2022-09-22,641.6,709.95,580.0,629.6,17629.8
2022-09-23,634.75,872.0,634.7,843.75,17327.35
2022-09-26,929.0,1090.0,929.0,1045.1,17016.3
2022-09-27,1000.0,1111.55,942.0,1053.7,17007.4
2022-09-28,1180.0,1205.4,1051.25,1189.4,16858.6
2022-09-29,1070.4,1257.0,1051.0,1214.15,16818.1
2022-09-30,1199.95,1265.85,935.4,1002.85,17094.35
2022-10-03,1012.0,1200.0,1007.95,1179.1,16887.35
2022-10-04,1196.25,1196.25,846.9,855.3,17274.3
2022-10-06,757.3,828.0,757.3,818.95,17331.8
2022-10-07,849.95,885.0,797.25,807.25,17314.65
2022-10-10,956.0,1009.0,847.0,877.2,17241.0
2022-10-11,907.95,1100.0,900.9,1067.7,16983.55
2022-10-12,1045.05,1095.95,947.0,952.3,17123.6
2022-10-13,984.05,1112.0,983.0,1037.8,17014.35
2022-10-14,802.05,882.6,747.0,872.25,17185.7
2022-10-17,873.05,941.0,761.0,772.65,17311.8
2022-10-18,674.0,674.0,600.0,618.2,17486.95
2022-10-19,589.6,642.35,550.7,622.5,17512.25
2022-10-20,672.65,687.5,570.4,579.35,17563.95
2022-10-21,539.85,613.35,498.6,566.4,17576.3
2022-10-25,454.1,493.5,419.55,482.75,17656.35
2022-10-27,409.05,465.85,385.0,411.55,17736.95
2022-10-28,381.0,405.0,350.5,368.6,17786.8
2022-10-31,309.75,309.75,240.5,245.35,18012.2
2022-11-01,229.0,229.0,178.35,184.8,18145.4
2022-11-03,246.85,267.4,201.9,205.8,18052.7
2022-11-04,210.0,217.5,155.0,165.0,18117.15
2022-11-07,130.0,184.6,116.6,120.3,18202.8
2022-11-09,118.5,142.35,85.0,131.35,18157.0
2022-11-10,154.7,192.7,140.0,159.0,18028.2
2022-11-11,65.55,98.0,46.05,51.25,18349.7
2022-11-14,48.0,51.5,37.6,46.45,18329.15
2022-11-15,41.8,51.05,26.2,28.8,18403.4
2022-11-16,32.0,37.7,26.1,28.05,18409.65
2022-11-17,34.0,34.0,17.7,26.9,18343.9
2022-11-18,23.8,34.2,14.1,16.3,18307.65
2022-11-21,16.2,32.0,16.0,23.3,18159.95
2022-11-22,22.0,22.7,6.15,7.25,18244.2
2022-11-23,4.5,5.25,2.5,3.55,18267.25
2022-11-24,1.4,2.2,0.1,0.2,18484.1
