Date,Open,High,Low,Close,Underlying Value
2021-09-14,1000.0,1000.0,1000.0,1000.0,17380.0
2021-09-15,1370.05,1370.05,1370.05,1370.05,17519.45
2021-09-27,1355.0,1355.0,1285.0,1285.0,17855.1
2021-09-28,1300.0,1455.0,1300.0,1404.0,17748.6
2021-09-30,1497.7,1497.7,1497.7,1497.7,17618.15
2021-10-14,1100.1,1220.05,1100.1,1220.05,18338.55
2021-10-18,1212.0,1290.0,1212.0,1219.05,18477.05
2021-10-19,1170.15,1315.0,1170.05,1298.4,18418.75
2021-10-25,1300.0,1499.8,1300.0,1433.05,18125.4
2021-10-26,1370.0,1370.0,1351.0,1351.0,18268.4
2021-10-27,1349.0,1349.0,1349.0,1349.0,18210.95
2021-11-01,1444.5,1444.5,1444.5,1444.5,17929.65
2021-11-03,1331.4,1331.65,1331.4,1331.65,17829.2
2021-11-08,1315.05,1315.05,1315.05,1315.05,18068.55
2021-11-09,1388.0,1388.0,1388.0,1388.0,18044.25
2021-11-11,1500.0,1500.0,1500.0,1500.0,17873.6
2021-11-12,1400.0,1400.0,1373.75,1400.0,18102.75
2021-11-15,1325.05,1341.05,1270.0,1270.0,18109.45
2021-11-16,1270.0,1325.0,1270.0,1325.0,17999.2
2021-11-18,1420.0,1420.0,1399.0,1399.0,17764.8
2021-11-22,1633.8,1681.45,1445.0,1650.0,17416.55
2021-11-23,1664.45,1664.45,1580.0,1580.0,17503.35
2021-11-24,1595.4,1650.0,1410.05,1650.0,17415.05
2021-11-25,1550.0,1550.0,1550.0,1550.0,17536.25
2021-11-29,1800.0,1850.0,1800.0,1800.0,17053.95
2021-11-30,1799.0,1799.0,1799.0,1799.0,16983.2
2021-12-10,1600.0,1600.0,1600.0,1600.0,17511.3
2021-12-14,1600.0,1600.0,1600.0,1600.0,17324.9
2021-12-16,1600.0,1600.0,1600.0,1600.0,17248.4
2021-12-17,1600.05,1800.8,1600.05,1800.8,16985.2
2021-12-20,1800.0,2250.0,1800.0,2200.0,16614.2
2021-12-21,1521.45,1521.45,1521.45,1521.45,16770.85
2021-12-22,1780.0,1780.0,1780.0,1780.0,16955.45
2021-12-23,1700.05,1750.0,1700.05,1750.0,17072.6
2021-12-24,1800.0,1800.0,1800.0,1800.0,17003.75
2021-12-27,1770.0,1770.0,1770.0,1770.0,17086.25
2021-12-28,1761.5,1761.5,1761.5,1761.5,17233.25
2021-12-29,1660.0,1660.0,1660.0,1660.0,17213.6
2021-12-30,1635.05,1635.05,1635.05,1635.05,17203.95
2021-12-31,1672.0,1672.0,1515.0,1560.0,17354.05
2022-01-03,1594.95,1594.95,1364.0,1397.5,17625.7
2022-01-04,1350.0,1353.0,1285.0,1285.0,17805.25
2022-01-05,1270.0,1275.0,1183.65,1207.55,17925.25
2022-01-06,1296.15,1380.0,1280.0,1328.25,17745.9
2022-01-07,1250.0,1320.0,1250.0,1320.0,17812.7
2022-01-10,1246.3,1246.3,1200.0,1201.6,18003.3
2022-01-11,1200.0,1200.0,1176.35,1183.4,18055.75
2022-01-12,1151.0,1165.0,1100.0,1126.25,18212.35
2022-01-13,1126.25,1131.0,1095.05,1106.5,18257.8
2022-01-14,1154.65,1176.0,1080.0,1090.0,18255.75
2022-01-17,1020.3,1100.0,1020.3,1040.0,18308.1
2022-01-18,1040.0,1184.8,1031.25,1160.75,18113.05
2022-01-19,1160.75,1224.2,1152.15,1197.3,17938.4
2022-01-20,1249.95,1319.75,1230.0,1281.45,17757.0
2022-01-21,1349.8,1440.0,1349.8,1390.35,17617.15
2022-01-24,1538.8,1737.1,1493.0,1646.35,17149.1
2022-01-25,1700.0,1701.0,1580.0,1580.0,17277.95
2022-01-27,1794.95,1811.8,1623.55,1634.6,17110.15
2022-01-28,1528.3,1648.0,1485.3,1648.0,17101.95
2022-01-31,1590.0,1590.0,1460.0,1483.0,17339.85
2022-02-01,1357.45,1420.0,1330.0,1380.0,17576.85
2022-02-02,1300.0,1300.0,1220.6,1256.95,17780.0
2022-02-03,1240.3,1350.0,1228.15,1337.3,17560.2
2022-02-04,1337.0,1360.25,1306.55,1324.0,17516.3
2022-02-07,1402.1,1526.0,1402.0,1476.0,17213.6
2022-02-08,1532.45,1532.45,1354.8,1450.0,17266.75
2022-02-09,1342.6,1367.5,1300.0,1317.25,17463.8
2022-02-10,1270.0,1343.1,1197.75,1230.35,17605.85
2022-02-11,1373.8,1375.0,1291.95,1344.35,17374.75
2022-02-14,1614.55,1700.0,1515.0,1687.5,16842.8
2022-02-15,1678.45,1699.95,1341.1,1356.25,17352.45
2022-02-16,1350.0,1373.2,1242.3,1347.75,17322.2
2022-02-17,1419.25,1419.25,1300.2,1369.1,17304.6
2022-02-18,1395.0,1395.0,1310.0,1343.85,17276.3
2022-02-21,1355.0,1360.0,1355.0,1360.0,17206.65
2022-02-22,1600.0,1600.0,1500.0,1550.0,17092.2
2022-02-23,1440.0,1482.85,1440.0,1443.2,17063.25
2022-02-24,1800.0,2095.45,1750.0,2067.0,16247.95
2022-02-25,1890.0,1890.0,1764.85,1775.45,16658.4
2022-02-28,1882.7,1882.7,1750.0,1750.0,16793.9
2022-03-02,1816.35,1886.5,1816.35,1886.5,16605.95
2022-03-03,1830.0,1937.1,1809.55,1915.45,16498.05
2022-03-04,2130.0,2130.0,1990.0,2047.55,16245.35
2022-03-07,2405.0,2451.1,2340.3,2350.0,15863.15
2022-03-08,2350.0,2350.0,2350.0,2350.0,16013.45
2022-03-09,2105.0,2125.0,1980.0,2000.0,16345.35
2022-03-10,1711.6,1800.0,1711.6,1800.0,16594.9
2022-03-11,1761.85,1780.0,1750.15,1780.0,16630.45
2022-03-14,1710.0,1710.0,1630.0,1630.4,16871.3
2022-03-15,1696.35,1792.05,1696.35,1792.05,16663.0
2022-03-16,1610.1,1629.6,1490.0,1544.1,16975.35
2022-03-17,1367.1,1400.75,1294.15,1355.0,17287.05
2022-03-21,1390.0,1496.0,1379.9,1448.9,17117.6
2022-03-22,1482.4,1560.0,1360.0,1381.7,17315.5
2022-03-23,1320.8,1456.65,1320.8,1456.65,17245.65
2022-03-24,1546.3,1546.3,1400.0,1425.5,17222.75
2022-03-25,1427.65,1540.0,1427.65,1502.0,17153.0
2022-03-28,1565.65,1590.0,1421.8,1440.0,17222.0
2022-03-29,1360.0,1404.85,1346.55,1348.3,17325.3
2022-03-30,1296.8,1310.0,1280.0,1280.0,17498.25
2022-03-31,1281.0,1310.85,1244.3,1280.7,17464.75
2022-04-01,1280.0,1280.0,1151.0,1170.1,17670.45
2022-04-04,1150.0,1150.0,965.7,973.7,18053.4
2022-04-05,950.0,1019.0,945.2,1002.85,17957.4
2022-04-06,1051.75,1092.05,1031.25,1080.0,17807.65
2022-04-07,1132.3,1140.0,1079.0,1120.35,17639.55
2022-04-08,1121.0,1140.0,1000.05,1026.95,17784.35
2022-04-11,1012.35,1110.0,1012.35,1097.8,17674.95
2022-04-12,1158.45,1211.75,1129.65,1164.7,17530.3
2022-04-13,1100.0,1200.0,1085.0,1164.4,17475.65
2022-04-18,1300.0,1400.0,1276.85,1313.3,17173.65
2022-04-19,1275.4,1555.0,1255.0,1479.0,16958.65
2022-04-20,1422.0,1430.2,1301.75,1336.75,17136.55
2022-04-21,1293.75,1293.75,1162.05,1174.25,17392.6
2022-04-22,1314.95,1325.0,1218.35,1311.4,17171.95
2022-04-25,1442.7,1550.0,1420.0,1496.35,16953.95
2022-04-26,1380.0,1391.95,1300.0,1309.0,17200.8
2022-04-27,1404.85,1480.0,1389.95,1416.75,17038.4
2022-04-28,1365.9,1400.95,1260.0,1315.8,17245.05
2022-04-29,1240.0,1400.0,1212.95,1364.55,17102.55
2022-05-02,1483.9,1502.0,1450.0,1450.0,17069.1
2022-05-04,1440.0,1750.0,1429.0,1686.4,16677.6
2022-05-05,1590.0,1690.0,1479.05,1682.9,16682.65
2022-05-06,1880.0,1949.0,1826.0,1889.25,16411.25
2022-05-09,2024.95,2101.95,1917.0,1992.75,16301.85
2022-05-10,2010.0,2045.0,1910.0,2035.65,16240.05
2022-05-11,1998.1,2250.0,1998.1,2083.5,16167.1
2022-05-12,2259.15,2440.0,2259.15,2377.5,15808.0
2022-05-13,2282.6,2420.0,2182.05,2408.35,15782.15
2022-05-16,2317.3,2385.0,2270.0,2375.0,15842.3
2022-05-17,2263.8,2384.85,2008.0,2026.5,16259.3
2022-05-18,1972.0,2045.0,1950.0,2017.4,16240.3
2022-05-19,2211.95,2417.6,2211.95,2407.2,15809.4
2022-05-20,2200.0,2200.0,2006.15,2011.35,16266.15
2022-05-23,2037.45,2050.0,1900.0,2050.0,16214.7
2022-05-24,2100.0,2195.0,2050.0,2150.0,16125.15
2022-05-25,2070.0,2230.0,2070.0,2208.5,16025.8
2022-05-26,2190.0,2310.0,2079.95,2080.0,16170.15
2022-05-27,1990.45,2038.0,1970.0,1986.0,16352.45
2022-05-30,1800.0,1800.0,1683.0,1740.05,16661.4
2022-05-31,1810.0,1810.0,1750.0,1784.3,16584.55
2022-06-01,1826.75,1901.0,1804.2,1890.0,16522.75
2022-06-02,1911.1,1911.1,1759.0,1759.0,16628.0
2022-06-03,1706.45,1757.5,1645.75,1757.1,16584.3
2022-06-06,1900.0,1919.95,1783.0,1824.0,16569.55
2022-06-07,1927.35,1972.6,1903.8,1926.95,16416.35
2022-06-08,1996.45,1996.45,1809.6,1889.5,16356.25
2022-06-09,2031.1,2031.1,1900.0,1916.55,16478.1
2022-06-10,2058.0,2100.0,2042.0,2100.0,16201.8
2022-06-13,2232.1,2540.0,2232.1,2500.0,15774.4
2022-06-14,2494.4,2568.05,2440.0,2540.25,15732.1
2022-06-15,2540.0,2540.0,2436.0,2510.0,15692.15
2022-06-16,2495.0,2860.0,2466.1,2830.0,15360.6
2022-06-17,2830.0,2954.5,2780.0,2856.35,15293.5
2022-06-20,2870.0,2921.35,2830.0,2868.0,15350.15
2022-06-21,2640.0,2649.05,2525.0,2540.0,15638.8
2022-06-22,2700.0,2860.35,2690.0,2800.0,15413.3
2022-06-23,2673.6,2770.0,2552.8,2552.85,15556.65
2022-06-24,2517.95,2517.95,2432.7,2480.0,15699.25
2022-06-27,2336.0,2370.0,2315.0,2357.5,15832.05
2022-06-28,2459.95,2500.0,2350.0,2355.0,15850.2
2022-06-29,2549.4,2549.45,2400.0,2452.1,15799.1
2022-06-30,2423.75,2524.3,2400.0,2524.3,15780.25
2022-07-01,2525.0,2640.0,2525.0,2569.2,15752.05
2022-07-04,2520.0,2520.0,2425.0,2425.0,15835.35
2022-07-05,2318.95,2450.0,2280.0,2450.0,15810.85
2022-07-06,2333.25,2333.3,2279.95,2327.8,15989.8
2022-07-07,2210.0,2240.0,2208.0,2238.75,16132.9
2022-07-08,2123.8,2150.4,2099.8,2103.6,16220.6
2022-07-11,2184.75,2190.0,2084.25,2108.65,16216.0
2022-07-12,2187.95,2259.0,2156.5,2240.3,16058.3
2022-07-13,2192.85,2314.2,2189.7,2311.9,15966.65
2022-07-14,2270.0,2366.65,2225.1,2344.15,15938.65
2022-07-15,2252.5,2325.65,2221.0,2225.5,16049.2
2022-07-18,2099.4,2115.1,2038.6,2047.4,16278.5
2022-07-19,2079.25,2083.75,2011.1,2019.95,16340.55
2022-07-20,1870.0,1870.0,1821.2,1850.25,16520.85
2022-07-21,1851.45,1865.25,1784.95,1798.25,16605.25
2022-07-22,1723.4,1772.5,1658.8,1700.75,16719.45
2022-07-25,1780.0,1790.0,1762.0,1762.0,16631.0
2022-07-26,1810.0,1880.0,1800.0,1865.0,16483.85
2022-07-27,1864.0,1903.55,1729.0,1729.0,16641.8
2022-07-28,1641.0,1641.0,1480.0,1483.9,16929.6
2022-07-29,1376.25,1410.0,1299.95,1309.1,17158.25
2022-08-01,1280.0,1283.0,1172.75,1185.35,17340.05
2022-08-02,1225.0,1283.45,1180.0,1210.05,17345.45
2022-08-03,1203.0,1296.0,1172.1,1193.75,17388.15
2022-08-04,1157.45,1350.0,1136.1,1219.15,17382.0
2022-08-05,1167.35,1229.35,1139.2,1174.1,17397.5
2022-08-08,1187.95,1199.0,1100.0,1117.0,17525.1
2022-08-10,1100.1,1175.0,1100.0,1123.75,17534.75
2022-08-11,1066.95,1066.95,1000.0,1042.2,17659.0
2022-08-12,1050.95,1068.0,994.75,1010.15,17698.15
2022-08-16,956.8,962.0,905.0,919.55,17825.25
2022-08-17,895.1,898.4,835.8,844.75,17944.25
2022-08-18,872.0,911.05,750.0,844.55,17956.5
2022-08-19,840.0,997.05,830.0,978.5,17758.45
2022-08-22,1020.0,1169.0,1020.0,1141.1,17490.7
2022-08-23,1188.1,1388.0,1030.0,1051.55,17577.5
